,no.overall,no. inseason,title,original air date,u.s. viewers(millions),description,posix time,show,season
10,192,11,"""season finale: week 10""","march 9, 2015 (2015-03-09)",9.68,"
chris returns home to arlington, iowa and has a chance to bring whitney and becca to his family. he spent his time on his parents' house with his family including a plenty of his nieces and nephews.
whitney arrives first and was being greeted by chris' father gary with her chances. then, chris' sisters talk to her moving to arlington would be difficult for her if she would ready to be a wife, chris' mom linda explains to her that why she doesn't have any parents, as her mom had died and has no contact with her dad. her dream would start a family with chris. just after the meeting with whitney, chris has a pep talk with his dad and brothers-in-law thinking about on a mystery about becca with knowing things to not start with a better relationship.
becca is next to meet with chris' family and conceives on her would be future-in-laws with a big impression. she was awful in her eyes with the large-knitted family. they asked her about arlington and wasn't actually the first time she visited, in fact she was on the road trip with three other girls back in week 7. then, linda asks her whether if she commit to chris in two days waiting for a decision to be part of the family and didn't recognize that she is not ready to in love.
over at the final dates, chris comes to becca's hotel room and then they talk with on each other stating that whether becca may giving an interest to take a small town life is more difficult, and she doesn't want to move to iowa, left with no choice. whitney drops off over chris' family farm in arlington and rode a tractor with his dad harvesting grains of corn. then, he and whitney travel to somewhere of middle of nowhere, chris shows her a tour of the 800-acre (3,200,000 m2) farm with a fields of livestock and they finally arrived on his house. later at the hotel, they have a cocktail toast showing their photo during the one-on-one date back on week 3 and whitney loves on a small town life.

at the hotel, neil lane arrives in iowa and asks chris to choose an engagement ring. then, chris sends to the family barn in lamont described he raised a pig when he was a child. becca arrives on a barn first, chris told her that she is not ready to become a wife, and she leaves in a painful tears on a limo ride. whitney comes next and chris harrison gives her with a ""good luck"" wearing high heels and stunning black dress. then, he tells her proposing on his knee and asked, ""everything about this moment feels right and i want the world to know that i love you whitney bischoff, will you marry me?"". they ended with sitting down on the barn.",1425873600,bachelor,23
11,193,12,"""after the final rose""","march 9, 2015 (2015-03-09)",9.68,"
there is a live finale viewing party and then the ""after the final rose"" follows. chris harrison begins the show by hyping up a surprise that chris has in store for all of the viewers, including himself.
chris harrison puts becca on the hot seat first.  he asks her questions about the final rose ceremony and how she is doing now.  she has a chance to talk chris again.
next, whitney is on the hot seat and gave interviews about her relationship with chris, she told harrison that the couple have a strong romantic bond since their engagement, and she and chris seen together for the first time in public appearance, meaning they became more happy. then, whitney talks about arlington and knows the distance is not quite far from chicago.  there is a video clip showing after the proposal, chris' parents came to the barn with a big congratulations for the newly-engaged couple.
ashley s., who was eliminated in week 4, was asked by harrison to appear for the second season of bachelor in paradise. she didn't give a complete answer.

harrison resumes to talk with whitney and asks about iowa and being a part of chris' family. afterwards, jimmy kimmel arrives at the studio and surprises them with a cow named juan pablo. at the end of the show, harrison announced that there would be two bachelorettes on the next season of the bachelorette.  kaitlyn and britt will both appear on the first episode, where the 25 men will decide who they want to be the bachelorette.",1425873600,bachelor,23
0,194,1,"""season 20 premiere: week 1""","january 4, 2016 (2016-01-04)",7.55,"
season 20 begins with ben at the bachelor mansion, he meets up with three former bachelors jason mesnick, sean lowe and chris soules where they give him tips about his new role as the bachelor. later that night, ben greets twenty-six new bachelorettes at the mansion. lauren b. steps out on a limo when she holds a wing pin; lauren r. stalks ben in social media; followed by shushanna introduces to ben in russian; leah catches a football; jojo wears a unicorn head which surprises ben; breanne presents a basket with a bread where it breaks on pieces; mandi arrives with a huge ""first impression rose"" on her head; izzy arrives wearing a onesie; rachel rides in on a hoverboard and maegan brings her pet horse named huey. chris harrison interrupts ben's one-on-one time with the ladies as two former contestants, amber and becca, have come back to be part of the cast. ben gives the first impression rose to olivia. at the rose ceremony, breanne, izzy, jessica, laura, lauren r., maegan and tiara are eliminated.",1451883600,bachelor,23
1,195,2,"""week 2: back to school""","january 11, 2016 (2016-01-11)",6.9,"
the first group date involves the ten chosen women participating in a ""bachelor high"" competition at verdugo hills high school. the competition has five different challenges. mandi is crowned homecoming queen after winning all of the challenges, but jojo receives the rose for the date. on the one-on-one date, ben and kevin hart stopped by at the mansion to pick up caila. the trio travel around los angeles buying condoms and relaxing at a spa. ben and caila attend a concert with amos lee at the regent theater and ben gives her the date rose. the second group date involves six women who go with ben to a lovelab facility at azusa pacific university for a scientific test using an electrocardiogram (ecg) sensor and electroencephalogram (eeg). olivia receives the date rose. at the rose ceremony, lb decides to leave, while jackie, mandi and samantha are sent home.",1452488400,bachelor,23
2,196,3,"""week 3: soccer date""","january 18, 2016 (2016-01-18)",7.56,"
lauren b. got the first one-on-one date for the week and riding an airplane overlooking southern california including a view of the mansion, she and ben ended up with a private stage by lucy angel where lauren b. received the rose. the twelve chosen ladies went to los angeles memorial coliseum to meet with alex morgan and kelley o'hara where they play soccer, separating into two teams: stars and stripes. team stripes won and continued for a night after party and the rose was received by amber. jubilee got the one-on-one date to cal-a-vie health spa vista via helicopter where ben shared about her adoption past and ben gave the rose to her. at the cocktail party, ben told the ladies received a bad news from his family. jubilee caused major upset and amber confronted her at the bathroom. lace decided to leave the competition. at the rose ceremony, jami and shusanna were eliminated.",1453093200,bachelor,23
3,197,4,"""week 4: las vegas""","january 25, 2016 (2016-01-25)",7.73,"
the fourteen ladies traveled to las vegas, nevada and saw a sign on a building upon arrival. jojo got the first one-on-one to a penthouse to whisk away into a helicopter ride at las vegas strip watching spectacular fireworks, ben gave the rose to her. the ten selected ladies went to the mirage to an annual talent show by terry fator. emily and haley excelled with irish dance moves, where olivia showed up with a showgirl costume left with panic attack. lauren b. received the date rose. becca got the one-on-one date and received a package from a hotel, she is taken to a wedding chapel to actual couples for marriage. she received the rose. ben brought emily and haley to their house where they met with their mom to discuss with opportunity issues and he decides to send haley packing. at the rose ceremony, amber and rachel were eliminated.",1453698000,bachelor,23
4,198,5,"""week 5: mexico city""","february 1, 2016 (2016-02-01)",7.5,"
the eleven remaining ladies traveled to mexico city, mexico. amanda got the one-on-one date and was awaken by ben to travel to the ancient city of teotihuacan for a morning scenic view and a picnic, they ended up at santa fe district and amanda got the rose. the nine selected ladies took spanish language lessons on a school to buy items for a mexican food and ended up with six teams of two, olivia left to pair up with ben, leaving a dismay to others. the team of jubilee and lauren b. got their dish was praised by local chefs. lauren b. and ben serenaded through the city, while jubilee was sent home as the rose was received by olivia. lauren h. got the one-on-date at pineda covalin headquarters to take part for a mercedes-benz fashion week join with ben and actual models, and lauren h. received the rose. at the cocktail party, olivia was offended on her harsh behavior by calling amanda a ""teen mom"". as the rose ceremony was about to start, ben asked to speak to olivia in private, but the episode ended in cliffhanger.",1454302800,bachelor,23
5,199,6,"""week 6: bahamas""","february 8, 2016 (2016-02-08)",8.62,"
concluding from the previous episode, ben pulled aside to olivia for a talk that told there was nothing in it. they rejoined with others at the rose ceremony where jennifer was eliminated. the nine ladies traveled to exuma in the bahamas. caila got the one-on-one date for the week to a deep sea fishing trip and ben gave the rose to her. the seven chosen ladies got the group date, leah became very upset that she didn't get the one-on-one date. they went to pig beach to swim with pigs. lauren b. was differed broke down against leah's meltdown. amanda got the group date rose. leah talked to ben that the connection wasn't feeling enough and sent her home. olivia and emily got the two-on-one date took place on an uninhabited private island. ben had some one-on-one time with those ladies, the rose gave to emily and olivia left behind on a wind-swept beach. at the rose ceremony, lauren h. was sent home.",1454907600,bachelor,23
6,200,7,"""week 7: warsaw, indiana""","february 15, 2016 (2016-02-15)",7.24,"
the remaining six ladies traveled to ben's hometown of warsaw, indiana, where ben meets his parents at the restaurant. lauren b. got the one-on-one showing the tour of the whole town and ended up at baker youth club to play basketball with indiana pacers basketball players paul george and george hill drop in and lead the kids in some exercises. jojo went to wrigley field in chicago to play baseball by themselves, she and ben wore ""mrs. higgins"" and ""mr. higgins"" uniforms, ended up on a dinner on a center field. caila, amanda and becca went to the farm for a group date, ben gave the rose to amanda to continue the portion for the date as the two went to a mcdonald's and ended up to a crowded carnival. emily went to ben's house to meet with ben's parents. they expressed concerns about her immaturity to become a wife and she was sent packing. at the rose ceremony took place at old kosciusko county courthouse, becca was sent home.",1455512400,bachelor,23
7,201,8,"""week 8: hometown dates""","february 22, 2016 (2016-02-22)",8.67,"
ben traveled the hometowns of the final four ladies. amanda's hometown date began in laguna beach in orange county, california and brought alongside her daughters to spend at the beach. ben wrote a storybook for amanda's daughters to read a story. lauren's hometown took place in portland, oregon and explored around pioneer square and the city's famous food trucks where she and ben ate a traditional georgian khachapuri pie and end hung out at multnomah whiskey library. caila's hometown date took place at hudson, ohio to explore a tour of her former high school, including a visit to a toy factory where her dad works. caila and ben were surprised by her family eating a traditional philippine food for dinner. jojo's hometown date began in dallas, texas with an envelope and roses left by her ex-boyfriend from a doorstep and instead she brought ben to meet her family, including her brother, ready for love star ben patton. jojo's brothers accused ben of brainwashing him. at the rose ceremony, amanda was sent home.",1456117200,bachelor,23
8,202,9,"""week 9: jamaica""","february 29, 2016 (2016-02-29)",8.17,"
ben and the final three ladies traveled to ocho rios in jamaica for an overnight dates. caila took a ride on a wooden raft down the martha brae river, followed by a riverside lunch of jerk chicken, and ended with a night of fireworks. lauren b. traveled to a preservation mission where they assisted baby turtles, she admitted that she is falling in love with ben and he said he loved her too. they ended up watching reggae musicians on a bar stage. jojo rode in a helicopter to a waterfall near negril and swam and expressed their feelings for one another, recalling the difficulties with her overprotective brothers during the hometown date. ben told jojo that he was in love with her. all three dates ended on a fantasy suite. caila went to a bachelor pad to talk with ben that did not decide against her feelings and was sent her home.",1456722000,bachelor,23
